#1/cm,e1,e2
,,
721.25,-41.448,163.69
719.32,-41.509,164.22
717.39,-41.571,164.75
715.46,-41.632,165.29
713.53,-41.693,165.82
711.6,-41.755,166.36
709.68,-41.816,166.9
707.75,-41.878,167.45
705.82,-41.939,168
703.89,-42.001,168.55
701.96,-42.063,169.11
700.03,-42.125,169.66
698.11,-42.187,170.22
696.18,-42.249,170.79
694.25,-42.311,171.36
692.32,-42.373,171.93
690.456,-42.433,172.48
690.39,-42.436,172.5
689.905,-42.451,172.65
689.354,-42.469,172.81
688.803,-42.487,172.98
688.46,-42.498,173.08
688.252,-42.505,173.14
687.701,-42.523,173.31
687.15,-42.541,173.47
686.598,-42.558,173.64
686.53,-42.561,173.66
686.047,-42.576,173.8
685.496,-42.594,173.97
684.945,-42.612,174.14
684.61,-42.623,174.24
684.394,-42.63,174.31
683.843,-42.648,174.47
683.292,-42.666,174.64
682.741,-42.684,174.81
682.68,-42.686,174.83
682.19,-42.702,174.98
681.639,-42.719,175.15
681.088,-42.737,175.32
680.75,-42.748,175.42
680.537,-42.755,175.48
679.986,-42.773,175.65
679.435,-42.791,175.82
678.884,-42.809,175.99
678.82,-42.811,176.01
678.333,-42.827,176.16
677.782,-42.845,176.33
677.231,-42.863,176.51
676.89,-42.874,176.61
676.68,-42.881,176.68
676.129,-42.899,176.85
675.578,-42.917,177.02
675.027,-42.935,177.19
674.96,-42.937,177.21
674.476,-42.953,177.36
673.925,-42.971,177.54
673.373,-42.989,177.71
673.03,-43,177.82
672.822,-43.007,177.88
672.271,-43.025,178.06
671.72,-43.043,178.23
671.169,-43.061,178.4
671.11,-43.063,178.42
670.618,-43.079,178.58
670.067,-43.097,178.75
669.516,-43.116,178.93
669.18,-43.127,179.03
668.965,-43.134,179.1
668.414,-43.152,179.28
667.863,-43.17,179.45
667.312,-43.188,179.63
667.25,-43.19,179.65
666.761,-43.206,179.81
666.21,-43.224,179.98
665.659,-43.242,180.16
665.32,-43.253,180.27
665.108,-43.26,180.34
664.557,-43.279,180.51
664.006,-43.297,180.69
663.455,-43.315,180.87
663.39,-43.317,180.89
